Unnamed: 0,Tweet,len,metrics,source
0,izuku almost felt bad tear well beta eye turn leav feel quickli evapor felt daddi knot swell daddi i realli want birthday get_pregnant pup what omega want get,178,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
1,he look disappoint annoy,29,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
2,lift old fenc pale front weight walk calori better tell i eat much lol question i becom lean machin hope,113,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
3,and great_day can_wait need_laugh http_co yoylileiln,53,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad
4,crush phase alway excit phase think duet_for love_jeydic http_co vmxwajcdhm,81,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
5,it pass oh it realli pass drag girl top friendship e want bad hous made look_like knew well nengi form anyway we move,131,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
6,i love sooo_much jairosalis so,28,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
7,i love http_co x2tampn9wi,26,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
8,nigeria would have_been great if first_gener of leader_surviv beyond_1966 prof_hamman http_co 54eqnvlvmv http_co zpvlxeal3x,133,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hootsuite Inc.
9,kiss red light type love,27,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
10,i think might rachael thing i one ador sound phrase oh shit come rachael,74,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
11,eh i think bivin less ambival everyth long_time weigh thing see i understand circumspect point_view simpli hold face overwhelm evid,148,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
12,love,4,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
13,love_u so_much,14,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
14,i love,6,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
15,that true_there much posit_neg happi death go go fast mayb i non sexi reclus halloween_year,104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad
16,deserv love congrat thank hard_work,37,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
17,the_earlier tell nigeria truth better us nigeria sunk ship way save implod restructur we_cannot save nigeria mere wish well wish come_true unless sincer http_co khu0la788o,184,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
18,i love_u so_much,16,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
19,hate laugh,12,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
20,wifey i love i happi talk coz i imagin life without,54,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
21,accident toss back amp kurti it embarrass mistak grow think guy it like one cool combin celebr name,120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
22,i pray slot somebodi realli believ_god,39,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
23,you work realli_hard comeback congratul,47,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
24,i annoy e question laycon my_blood hot nonsens,50,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
25,http_co edvoceyfuo ufc champion israel adesanya deni use steroid fan notic unusu swell right pector ufc 253 win paulo costa adesanya pain pector swell sourc,181,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1buvtw
26,no man sky it recent got big updat also 50 idk everyon ask cyperpunk2077 i think humbl ask upcom aaa hype everyonew game,138,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
27,love,4,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
28,wish homophob would stfu stop embarrass 2020 admit use_religion say hate_speech leav,90,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
29,honestli think carribean nigerian heritag surpris,53,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
30,good_morn sherwood happi_thursday amp happi_octob be_kind other spread joy everyon encount make best day bring make great_day sherwood http_co rauqnskk1i,164,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
31,i love intent mei xiang watch littl one crawl http_co ycbgnh0oeb,71,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
32,wanna let know amaz love pleas_take care drink water take_break eat someth everi,87,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
33,children programm bbc encourag home creat cook stuff like they award badg realli_hard come i tri_find logo,120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
34,i think see real bitch situat their store their rule store alway right long_covid mask ask leav whatev reason see fit,130,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
35,i love mark driscol bad guy,28,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
36,someon hate sunris fuck good appl bop http_co 4dvxgimkvi,63,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
37,realli need pick hobbi thi useless thing i ever_seen whi even base anyth someth never even fuckin happen,113,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
38,love make enemi cartoon call open_border avoid look_like nasti racist nobodi want open_border clearli knowledg immigr system last_2 decad least,163,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
39,aaa send_love hope get well_soon,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
40,well show lack abil like love amp toler accept differ canin human it loss major save canin big_small just one talli show the biggest loser,154,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
41,watch fall find ask one question hot play sick mother fucker amaz job fifti shade fall ether amaz actor thing bad_boy,134,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
42,pay employe better without busi,37,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
43,footstep pound like echo came wake your shadow surround and swallow colour dream the space bed remind gone your_voic head replay like love song day night feel_like forev,187,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
44,it_easi put_word grief feel belov furbabi poorli 16 paw finger_cross,78,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
45,anyth better saw heard trump never_stop talk lie he absolut abus,81,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
46,oh lunch_break want love i mean nurs baek hi patient alreadi hold phone_wait answer u uhm i brought lunch sir realli chanyeol look delight inform heard,168,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
47,yeah yesterday i absolut shit day_decid drown sad watch no 6 first year cours made sad today much better i back twitter lt_3 hope well i hope i miss_much gt,168,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
48,happen i realli born arizona admir the two met,48,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",gb02
49,no that ur bb congrat love_uuu http_co ygoavegvb1,53,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPad
50,thi great_articl three inspir young_entrepreneur diversifi busi overcom covid challeng gt_gt bbc news coronaviru how surviv pandem young_entrepreneur http_co l1x2de7dko,195,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
51,think brand need sure start as one first uk agenc access ad platform put_togeth use guid brand get start download copi http_co tfb7pornjn,155,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hootsuite Inc.
52,better let happi filth shit no_one valu paki world i seen pathet condit mani countri just gibberish tri get footag us or_mayb indian paki insid,159,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
53,let_us know think enter survey code 12723782 your feedback highli appreci to start survey click_link http http_co 3qn3x0yx8m,133,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Salesforce - Social Studio
54,i love babi much aigoooo aigo,24,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
55,your logic suck lmfao what sol said white instead i would bet anyth would piss yell racist give fuckin break you_obvious think lesser black_peopl like need help pat_back like_idiot http_co pt4aksniz1,209,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
56,i feel deflat i know yeah that,35,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
57,i rememb star trek tv seri i think next gener like geniu alien ship_name q,84,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad
58,love bhai,9,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
59,snow deserv_pain death coin bad,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
60,holi crap might last time fill fafsa feel old also phew,55,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
61,summer realli i readi cold,26,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
62,year still lot effect im okay_tho ye wont accept fr hate gut hope okay_tho rot hell one day,97,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
63,yay i feel face,15,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
64,pl give sunshin love http_co 3hvidzie0d,42,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
65,sana mage okay kayo ng bago behav though wala akong karapatan kasi di naman tayo pero last time say i love goodby long stori short i sex cheat and worst_thing i ever done life and i never ever http_co pecz0ayve1,218,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
66,then better fuck get camera,30,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
67,on bad stimulu come post pandem monocultur,48,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Katie bot
68,thank i realli need_hear i contempl day i gotta say i agre the show could differ end necess bring alycia back chose and i grate,146,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
69,i f cking_hate china,20,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
70,pray better mental_health product month just feel good anyth,74,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
71,either_way war victor convert establish thier religion done asoka great well all im say exclus one religion,115,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
72,still better_diver chaddi man portug,38,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
73,love_u mami,11,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
74,love strong i lost_first child husband beauti daughter love power coupl see love two,89,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad
75,unless i misunderstand i think allow transfer save http_co utnwx9lerd,73,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
76,happi_independ nigeria naija shall great naijalikeneverbefor_http co aeylbox2ft,85,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
77,think gener respons http_co itxxxsbtaf,42,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
78,u_deserv it i love_u so_much,29,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
79,i love,6,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
80,i realli hope govern someth student want anoth onlin_class onlin exam http_co rt9ovxsyh9,101,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
81,40_year old evangelin lilli age better fine wine 17 gif http_co c3jybfhohd,78,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
82,i love you http_co kbutkkfxq4,30,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
83,are soul realli destin meet time,35,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
84,babe i love_u,13,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
85,love_u,6,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
86,i i love jim carrey,19,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
87,tri learn 2205 would love expos audienc might recommend anoth track,72,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
